,price,Cars_Category,enginetype,fueltype,aspiration,carbody,cylindernumber,drivewheel,wheelbase,curbweight,enginesize,boreratio,horsepower,citympg,highwaympg,carlength,carwidth
0,13495,Medium_Range,dohc,gas,std,convertible,four,rwd,88.6,2548,130,3.47,111,21,27,168.8,64.1
1,16500,Medium_Range,dohc,gas,std,convertible,four,rwd,88.6,2548,130,3.47,111,21,27,168.8,64.1
2,16500,Medium_Range,ohcv,gas,std,hatchback,six,rwd,94.5,2823,152,2.68,154,19,26,171.2,65.5
3,13950,Medium_Range,ohc,gas,std,sedan,four,fwd,99.8,2337,109,3.19,102,24,30,176.6,66.2
4,17450,Medium_Range,ohc,gas,std,sedan,five,4wd,99.4,2824,136,3.19,115,18,22,176.6,66.4
5,15250,Medium_Range,ohc,gas,std,sedan,five,fwd,99.8,2507,136,3.19,110,19,25,177.3,66.3
6,17710,Medium_Range,ohc,gas,std,sedan,five,fwd,105.8,2844,136,3.19,110,19,25,192.7,71.4
7,18920,Medium_Range,ohc,gas,std,wagon,five,fwd,105.8,2954,136,3.19,110,19,25,192.7,71.4
8,23875,Medium_Range,ohc,gas,turbo,sedan,five,fwd,105.8,3086,131,3.13,140,17,20,192.7,71.4
9,17859,Medium_Range,ohc,gas,turbo,hatchback,five,4wd,99.5,3053,131,3.13,160,16,22,178.2,67.9
10,16430,High_Range,ohc,gas,std,sedan,four,rwd,101.2,2395,108,3.5,101,23,29,176.8,64.8
11,16925,High_Range,ohc,gas,std,sedan,four,rwd,101.2,2395,108,3.5,101,23,29,176.8,64.8
12,20970,High_Range,ohc,gas,std,sedan,six,rwd,101.2,2710,164,3.31,121,21,28,176.8,64.8
13,21105,High_Range,ohc,gas,std,sedan,six,rwd,101.2,2765,164,3.31,121,21,28,176.8,64.8
14,24565,High_Range,ohc,gas,std,sedan,six,rwd,103.5,3055,164,3.31,121,20,25,189.0,66.9
15,30760,High_Range,ohc,gas,std,sedan,six,rwd,103.5,3230,209,3.62,182,16,22,189.0,66.9
16,41315,High_Range,ohc,gas,std,sedan,six,rwd,103.5,3380,209,3.62,182,16,22,193.8,67.9
17,36880,High_Range,ohc,gas,std,sedan,six,rwd,110.0,3505,209,3.62,182,15,20,197.0,70.9
18,5151,Low_Range,l,gas,std,hatchback,three,fwd,88.4,1488,61,2.91,48,47,53,141.1,60.3
19,6295,Low_Range,ohc,gas,std,hatchback,four,fwd,94.5,1874,90,3.03,70,38,43,155.9,63.6
20,6575,Low_Range,ohc,gas,std,sedan,four,fwd,94.5,1909,90,3.03,70,38,43,158.8,63.6
21,5572,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1876,90,2.97,68,37,41,157.3,63.8
22,6377,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1876,90,2.97,68,31,38,157.3,63.8
23,7957,Low_Range,ohc,gas,turbo,hatchback,four,fwd,93.7,2128,98,3.03,102,24,30,157.3,63.8
24,6229,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1967,90,2.97,68,31,38,157.3,63.8
25,6692,Low_Range,ohc,gas,std,sedan,four,fwd,93.7,1989,90,2.97,68,31,38,157.3,63.8
26,7609,Low_Range,ohc,gas,std,sedan,four,fwd,93.7,1989,90,2.97,68,31,38,157.3,63.8
27,8558,Low_Range,ohc,gas,turbo,sedan,four,fwd,93.7,2191,98,3.03,102,24,30,157.3,63.8
28,8921,Low_Range,ohc,gas,std,wagon,four,fwd,103.3,2535,122,3.34,88,24,30,174.6,64.6
29,12964,Low_Range,ohc,gas,turbo,hatchback,four,fwd,95.9,2811,156,3.6,145,19,24,173.2,66.3
30,6479,Low_Range,ohc,gas,std,hatchback,four,fwd,86.6,1713,92,2.91,58,49,54,144.6,63.9
31,6855,Low_Range,ohc,gas,std,hatchback,four,fwd,86.6,1819,92,2.91,76,31,38,144.6,63.9
32,5399,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1837,79,2.91,60,38,42,150.0,64.0
33,6529,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1940,92,2.91,76,30,34,150.0,64.0
34,7129,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1956,92,2.91,76,30,34,150.0,64.0
35,7295,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2010,92,2.91,76,30,34,163.4,64.0
36,7295,Low_Range,ohc,gas,std,wagon,four,fwd,96.5,2024,92,2.92,76,30,34,157.1,63.9
37,7895,Low_Range,ohc,gas,std,hatchback,four,fwd,96.5,2236,110,3.15,86,27,33,167.5,65.2
38,9095,Low_Range,ohc,gas,std,hatchback,four,fwd,96.5,2289,110,3.15,86,27,33,167.5,65.2
39,8845,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2304,110,3.15,86,27,33,175.4,65.2
40,10295,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2372,110,3.15,86,27,33,175.4,62.5
41,12945,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2465,110,3.15,101,24,28,175.4,65.2
42,10345,Low_Range,ohc,gas,std,sedan,four,fwd,96.5,2293,110,3.15,100,25,31,169.1,66.0
43,6785,Low_Range,ohc,gas,std,sedan,four,rwd,94.3,2337,111,3.31,78,24,29,170.7,61.8
44,8916,Low_Range,ohc,gas,std,sedan,four,fwd,94.5,1874,90,3.03,70,38,43,155.9,63.6
45,8916,Low_Range,ohc,gas,std,sedan,four,fwd,94.5,1909,90,3.03,70,38,43,155.9,63.6
46,11048,Low_Range,ohc,gas,std,hatchback,four,rwd,96.0,2734,119,3.43,90,24,29,172.6,65.2
47,32250,High_Range,dohc,gas,std,sedan,six,rwd,113.0,4066,258,3.63,176,15,19,199.6,69.6
48,35550,High_Range,dohc,gas,std,sedan,six,rwd,113.0,4066,258,3.63,176,15,19,199.6,69.6
49,36000,High_Range,ohcv,gas,std,sedan,twelve,rwd,102.0,3950,326,3.54,262,13,17,191.7,70.6
50,5195,Medium_Range,ohc,gas,std,hatchback,four,fwd,93.1,1890,91,3.03,68,30,31,159.1,64.2
51,6095,Medium_Range,ohc,gas,std,hatchback,four,fwd,93.1,1900,91,3.03,68,31,38,159.1,64.2
52,6795,Medium_Range,ohc,gas,std,hatchback,four,fwd,93.1,1905,91,3.03,68,31,38,159.1,64.2
53,6695,Medium_Range,ohc,gas,std,sedan,four,fwd,93.1,1945,91,3.03,68,31,38,166.8,64.2
54,7395,Medium_Range,ohc,gas,std,sedan,four,fwd,93.1,1950,91,3.08,68,31,38,166.8,64.2
55,10945,Medium_Range,rotor,gas,std,hatchback,two,rwd,95.3,2380,70,3.33,101,17,23,169.0,65.7
56,11845,Medium_Range,rotor,gas,std,hatchback,two,rwd,95.3,2380,70,3.33,101,17,23,169.0,65.7
57,13645,Medium_Range,rotor,gas,std,hatchback,two,rwd,95.3,2385,70,3.33,101,17,23,169.0,65.7
58,15645,Medium_Range,rotor,gas,std,hatchback,two,rwd,95.3,2500,80,3.33,135,16,23,169.0,65.7
59,8845,Medium_Range,ohc,gas,std,hatchback,four,fwd,98.8,2385,122,3.39,84,26,32,177.8,66.5
60,8495,Medium_Range,ohc,gas,std,sedan,four,fwd,98.8,2410,122,3.39,84,26,32,177.8,66.5
61,10595,Medium_Range,ohc,gas,std,hatchback,four,fwd,98.8,2385,122,3.39,84,26,32,177.8,66.5
62,10245,Medium_Range,ohc,gas,std,sedan,four,fwd,98.8,2410,122,3.39,84,26,32,177.8,66.5
63,10795,Medium_Range,ohc,diesel,std,sedan,four,fwd,98.8,2443,122,3.39,64,36,42,177.8,66.5
64,11245,Medium_Range,ohc,gas,std,hatchback,four,fwd,98.8,2425,122,3.39,84,26,32,177.8,66.5
65,18280,Medium_Range,ohc,gas,std,sedan,four,rwd,104.9,2670,140,3.76,120,19,27,175.0,66.1
66,18344,Medium_Range,ohc,diesel,std,sedan,four,rwd,104.9,2700,134,3.43,72,31,39,175.0,66.1
67,25552,High_Range,ohc,diesel,turbo,sedan,five,rwd,110.0,3515,183,3.58,123,22,25,190.9,70.3
68,28248,High_Range,ohc,diesel,turbo,wagon,five,rwd,110.0,3750,183,3.58,123,22,25,190.9,70.3
69,28176,High_Range,ohc,diesel,turbo,hardtop,five,rwd,106.7,3495,183,3.58,123,22,25,187.5,70.3
70,31600,High_Range,ohc,diesel,turbo,sedan,five,rwd,115.6,3770,183,3.58,123,22,25,202.6,71.7
71,34184,High_Range,ohcv,gas,std,sedan,eight,rwd,115.6,3740,234,3.46,155,16,18,202.6,71.7
72,35056,High_Range,ohcv,gas,std,convertible,eight,rwd,96.6,3685,234,3.46,155,16,18,180.3,70.5
73,40960,High_Range,ohcv,gas,std,sedan,eight,rwd,120.9,3900,308,3.8,184,14,16,208.1,71.7
74,45400,High_Range,ohcv,gas,std,hardtop,eight,rwd,112.0,3715,304,3.8,184,14,16,199.2,72.0
75,16503,Medium_Range,ohc,gas,turbo,hatchback,four,rwd,102.7,2910,140,3.78,175,19,24,178.4,68.0
76,5389,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1918,92,2.97,68,37,41,157.3,64.4
77,6189,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1944,92,2.97,68,31,38,157.3,64.4
78,6669,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,2004,92,2.97,68,31,38,157.3,64.4
79,7689,Low_Range,ohc,gas,turbo,hatchback,four,fwd,93.0,2145,98,3.03,102,24,30,157.3,63.8
80,9959,Low_Range,ohc,gas,turbo,hatchback,four,fwd,96.3,2370,110,3.17,116,23,30,173.0,65.4
81,8499,Low_Range,ohc,gas,std,hatchback,four,fwd,96.3,2328,122,3.35,88,25,32,173.0,65.4
82,12629,Low_Range,ohc,gas,turbo,hatchback,four,fwd,95.9,2833,156,3.58,145,19,24,173.2,66.3
83,14869,Low_Range,ohc,gas,turbo,hatchback,four,fwd,95.9,2921,156,3.59,145,19,24,173.2,66.3
84,14489,Low_Range,ohc,gas,turbo,hatchback,four,fwd,95.9,2926,156,3.59,145,19,24,173.2,66.3
85,6989,Low_Range,ohc,gas,std,sedan,four,fwd,96.3,2365,122,3.35,88,25,32,172.4,65.4
86,8189,Low_Range,ohc,gas,std,sedan,four,fwd,96.3,2405,122,3.35,88,25,32,172.4,65.4
87,9279,Low_Range,ohc,gas,turbo,sedan,four,fwd,96.3,2403,110,3.17,116,23,30,172.4,65.4
88,9279,Low_Range,ohc,gas,std,sedan,four,fwd,96.3,2403,110,3.17,116,23,30,172.4,65.4
89,5499,Medium_Range,ohc,gas,std,sedan,four,fwd,94.5,1889,97,3.15,69,31,37,165.3,63.8
90,7099,Medium_Range,ohc,diesel,std,sedan,four,fwd,94.5,2017,103,2.99,55,45,50,165.3,63.8
91,6649,Medium_Range,ohc,gas,std,sedan,four,fwd,94.5,1918,97,3.15,69,31,37,165.3,63.8
92,6849,Medium_Range,ohc,gas,std,sedan,four,fwd,94.5,1938,97,3.15,69,31,37,165.3,63.8
93,7349,Medium_Range,ohc,gas,std,wagon,four,fwd,94.5,2024,97,3.15,69,31,37,170.2,63.8
94,7299,Medium_Range,ohc,gas,std,sedan,four,fwd,94.5,1951,97,3.15,69,31,37,165.3,63.8
95,7799,Medium_Range,ohc,gas,std,hatchback,four,fwd,94.5,2028,97,3.15,69,31,37,165.6,63.8
96,7499,Medium_Range,ohc,gas,std,sedan,four,fwd,94.5,1971,97,3.15,69,31,37,165.3,63.8
97,7999,Medium_Range,ohc,gas,std,wagon,four,fwd,94.5,2037,97,3.15,69,31,37,170.2,63.8
98,8249,Medium_Range,ohc,gas,std,hardtop,four,fwd,95.1,2008,97,3.15,69,31,37,162.4,63.8
99,8949,Medium_Range,ohc,gas,std,hatchback,four,fwd,97.2,2324,120,3.33,97,27,34,173.4,65.2
100,9549,Medium_Range,ohc,gas,std,sedan,four,fwd,97.2,2302,120,3.33,97,27,34,173.4,65.2
101,13499,Medium_Range,ohcv,gas,std,sedan,six,fwd,100.4,3095,181,3.43,152,17,22,181.7,66.5
102,14399,Medium_Range,ohcv,gas,std,wagon,six,fwd,100.4,3296,181,3.43,152,17,22,184.6,66.5
103,13499,Medium_Range,ohcv,gas,std,sedan,six,fwd,100.4,3060,181,3.43,152,19,25,184.6,66.5
104,17199,Medium_Range,ohcv,gas,std,hatchback,six,rwd,91.3,3071,181,3.43,160,19,25,170.7,67.9
105,19699,Medium_Range,ohcv,gas,turbo,hatchback,six,rwd,91.3,3139,181,3.43,200,17,23,170.7,67.9
106,18399,Medium_Range,ohcv,gas,std,hatchback,six,rwd,99.2,3139,181,3.43,160,19,25,178.5,67.9
107,11900,Medium_Range,l,gas,std,sedan,four,rwd,107.9,3020,120,3.46,97,19,24,186.7,68.4
108,13200,Medium_Range,l,diesel,turbo,sedan,four,rwd,107.9,3197,152,3.7,95,28,33,186.7,68.4
109,12440,Medium_Range,l,gas,std,wagon,four,rwd,114.2,3230,120,3.46,97,19,24,198.9,68.4
110,13860,Medium_Range,l,diesel,turbo,wagon,four,rwd,114.2,3430,152,3.7,95,25,25,198.9,68.4
111,15580,Medium_Range,l,gas,std,sedan,four,rwd,107.9,3075,120,3.46,95,19,24,186.7,68.4
112,16900,Medium_Range,l,diesel,turbo,sedan,four,rwd,107.9,3252,152,3.7,95,28,33,186.7,68.4
113,16695,Medium_Range,l,gas,std,wagon,four,rwd,114.2,3285,120,3.46,95,19,24,198.9,68.4
114,17075,Medium_Range,l,diesel,turbo,wagon,four,rwd,114.2,3485,152,3.7,95,25,25,198.9,68.4
115,16630,Medium_Range,l,gas,std,sedan,four,rwd,107.9,3075,120,3.46,97,19,24,186.7,68.4
116,17950,Medium_Range,l,diesel,turbo,sedan,four,rwd,107.9,3252,152,3.7,95,28,33,186.7,68.4
117,18150,Medium_Range,l,gas,turbo,sedan,four,rwd,108.0,3130,134,3.61,142,18,24,186.7,68.3
118,5572,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1918,90,2.97,68,37,41,157.3,63.8
119,7957,Low_Range,ohc,gas,turbo,hatchback,four,fwd,93.7,2128,98,3.03,102,24,30,157.3,63.8
120,6229,Low_Range,ohc,gas,std,hatchback,four,fwd,93.7,1967,90,2.97,68,31,38,157.3,63.8
121,6692,Low_Range,ohc,gas,std,sedan,four,fwd,93.7,1989,90,2.97,68,31,38,167.3,63.8
122,7609,Low_Range,ohc,gas,std,sedan,four,fwd,93.7,2191,98,2.97,68,31,38,167.3,63.8
123,8921,Low_Range,ohc,gas,std,wagon,four,fwd,103.3,2535,122,3.35,88,24,30,174.6,64.6
124,12764,Low_Range,ohc,gas,turbo,hatchback,four,rwd,95.9,2818,156,3.59,145,19,24,173.2,66.3
125,22018,High_Range,ohc,gas,std,hatchback,four,rwd,94.5,2778,151,3.94,143,19,27,168.9,68.3
126,32528,High_Range,ohcf,gas,std,hardtop,six,rwd,89.5,2756,194,3.74,207,17,25,168.9,65.0
127,34028,High_Range,ohcf,gas,std,hardtop,six,rwd,89.5,2756,194,3.74,207,17,25,168.9,65.0
128,37028,High_Range,ohcf,gas,std,convertible,six,rwd,89.5,2800,194,3.74,207,17,25,168.9,65.0
129,31400,High_Range,dohcv,gas,std,hatchback,eight,rwd,98.4,3366,203,3.94,288,17,28,175.7,72.3
130,9295,Low_Range,ohc,gas,std,wagon,four,fwd,96.1,2579,132,3.46,90,23,31,181.5,66.5
131,9895,Low_Range,ohc,gas,std,hatchback,four,fwd,96.1,2460,132,3.46,90,23,31,176.8,66.6
132,11850,Medium_Range,ohc,gas,std,hatchback,four,fwd,99.1,2658,121,3.54,110,21,28,186.6,66.5
133,12170,Medium_Range,ohc,gas,std,sedan,four,fwd,99.1,2695,121,3.54,110,21,28,186.6,66.5
134,15040,Medium_Range,ohc,gas,std,hatchback,four,fwd,99.1,2707,121,2.54,110,21,28,186.6,66.5
135,15510,Medium_Range,ohc,gas,std,sedan,four,fwd,99.1,2758,121,3.54,110,21,28,186.6,66.5
136,18150,Medium_Range,dohc,gas,turbo,hatchback,four,fwd,99.1,2808,121,3.54,160,19,26,186.6,66.5
137,18620,Medium_Range,dohc,gas,turbo,sedan,four,fwd,99.1,2847,121,3.54,160,19,26,186.6,66.5
138,5118,Low_Range,ohcf,gas,std,hatchback,four,fwd,93.7,2050,97,3.62,69,31,36,156.9,63.4
139,7053,Low_Range,ohcf,gas,std,hatchback,four,fwd,93.7,2120,108,3.62,73,26,31,157.9,63.6
140,7603,Low_Range,ohcf,gas,std,hatchback,four,4wd,93.3,2240,108,3.62,73,26,31,157.3,63.8
141,7126,Low_Range,ohcf,gas,std,sedan,four,fwd,97.2,2145,108,3.62,82,32,37,172.0,65.4
142,7775,Low_Range,ohcf,gas,std,sedan,four,fwd,97.2,2190,108,3.62,82,28,33,172.0,65.4
143,9960,Low_Range,ohcf,gas,std,sedan,four,fwd,97.2,2340,108,3.62,94,26,32,172.0,65.4
144,9233,Low_Range,ohcf,gas,std,sedan,four,4wd,97.0,2385,108,3.62,82,24,25,172.0,65.4
145,11259,Low_Range,ohcf,gas,turbo,sedan,four,4wd,97.0,2510,108,3.62,111,24,29,172.0,65.4
146,7463,Low_Range,ohcf,gas,std,wagon,four,fwd,97.0,2290,108,3.62,82,28,32,173.5,65.4
147,10198,Low_Range,ohcf,gas,std,wagon,four,fwd,97.0,2455,108,3.62,94,25,31,173.5,65.4
148,8013,Low_Range,ohcf,gas,std,wagon,four,4wd,96.9,2420,108,3.62,82,23,29,173.6,65.4
149,11694,Low_Range,ohcf,gas,turbo,wagon,four,4wd,96.9,2650,108,3.62,111,23,23,173.6,65.4
150,5348,Low_Range,ohc,gas,std,hatchback,four,fwd,95.7,1985,92,3.05,62,35,39,158.7,63.6
151,6338,Low_Range,ohc,gas,std,hatchback,four,fwd,95.7,2040,92,3.05,62,31,38,158.7,63.6
152,6488,Low_Range,ohc,gas,std,hatchback,four,fwd,95.7,2015,92,3.05,62,31,38,158.7,63.6
153,6918,Low_Range,ohc,gas,std,wagon,four,fwd,95.7,2280,92,3.05,62,31,37,169.7,63.6
154,7898,Low_Range,ohc,gas,std,wagon,four,4wd,95.7,2290,92,3.05,62,27,32,169.7,63.6
155,8778,Low_Range,ohc,gas,std,wagon,four,4wd,95.7,3110,92,3.05,62,27,32,169.7,63.6
156,6938,Low_Range,ohc,gas,std,sedan,four,fwd,95.7,2081,98,3.19,70,30,37,166.3,64.4
157,7198,Low_Range,ohc,gas,std,hatchback,four,fwd,95.7,2109,98,3.19,70,30,37,166.3,64.4
158,7898,Low_Range,ohc,diesel,std,sedan,four,fwd,95.7,2275,110,3.27,56,34,36,166.3,64.4
159,7788,Low_Range,ohc,diesel,std,hatchback,four,fwd,95.7,2275,110,3.27,56,38,47,166.3,64.4
160,7738,Low_Range,ohc,gas,std,sedan,four,fwd,95.7,2094,98,3.19,70,38,47,166.3,64.4
161,8358,Low_Range,ohc,gas,std,hatchback,four,fwd,95.7,2122,98,3.19,70,28,34,166.3,64.4
162,9258,Low_Range,ohc,gas,std,sedan,four,fwd,95.7,2140,98,3.19,70,28,34,166.3,64.4
163,8058,Low_Range,ohc,gas,std,sedan,four,rwd,94.5,2169,98,3.19,70,29,34,168.7,64.0
164,8238,Low_Range,ohc,gas,std,hatchback,four,rwd,94.5,2204,98,3.19,70,29,34,168.7,64.0
165,9298,Low_Range,dohc,gas,std,sedan,four,rwd,94.5,2265,98,3.24,112,26,29,168.7,64.0
166,9538,Low_Range,dohc,gas,std,hatchback,four,rwd,94.5,2300,98,3.24,112,26,29,168.7,64.0
167,8449,Low_Range,ohc,gas,std,hardtop,four,rwd,98.4,2540,146,3.62,116,24,30,176.2,65.6
168,9639,Low_Range,ohc,gas,std,hardtop,four,rwd,98.4,2536,146,3.62,116,24,30,176.2,65.6
169,9989,Low_Range,ohc,gas,std,hatchback,four,rwd,98.4,2551,146,3.62,116,24,30,176.2,65.6
170,11199,Low_Range,ohc,gas,std,hardtop,four,rwd,98.4,2679,146,3.62,116,24,30,176.2,65.6
171,11549,Low_Range,ohc,gas,std,hatchback,four,rwd,98.4,2714,146,3.62,116,24,30,176.2,65.6
172,17669,Low_Range,ohc,gas,std,convertible,four,rwd,98.4,2975,146,3.62,116,24,30,176.2,65.6
173,8948,Low_Range,ohc,gas,std,sedan,four,fwd,102.4,2326,122,3.31,92,29,34,175.6,66.5
174,10698,Low_Range,ohc,diesel,turbo,sedan,four,fwd,102.4,2480,110,3.27,73,30,33,175.6,66.5
175,9988,Low_Range,ohc,gas,std,hatchback,four,fwd,102.4,2414,122,3.31,92,27,32,175.6,66.5
176,10898,Low_Range,ohc,gas,std,sedan,four,fwd,102.4,2414,122,3.31,92,27,32,175.6,66.5
177,11248,Low_Range,ohc,gas,std,hatchback,four,fwd,102.4,2458,122,3.31,92,27,32,175.6,66.5
178,16558,Low_Range,dohc,gas,std,hatchback,six,rwd,102.9,2976,171,3.27,161,20,24,183.5,67.7
179,15998,Low_Range,dohc,gas,std,hatchback,six,rwd,102.9,3016,171,3.27,161,19,24,183.5,67.7
180,15690,Low_Range,dohc,gas,std,sedan,six,rwd,104.5,3131,171,3.27,156,20,24,187.8,66.5
181,15750,Low_Range,dohc,gas,std,wagon,six,rwd,104.5,3151,161,3.27,156,19,24,187.8,66.5
182,7775,Medium_Range,ohc,diesel,std,sedan,four,fwd,97.3,2261,97,3.01,52,37,46,171.7,65.5
183,7975,Medium_Range,ohc,gas,std,sedan,four,fwd,97.3,2209,109,3.19,85,27,34,171.7,65.5
184,7995,Medium_Range,ohc,diesel,std,sedan,four,fwd,97.3,2264,97,3.01,52,37,46,171.7,65.5
185,8195,Medium_Range,ohc,gas,std,sedan,four,fwd,97.3,2212,109,3.19,85,27,34,171.7,65.5
186,8495,Medium_Range,ohc,gas,std,sedan,four,fwd,97.3,2275,109,3.19,85,27,34,171.7,65.5
187,9495,Medium_Range,ohc,diesel,turbo,sedan,four,fwd,97.3,2319,97,3.01,68,37,42,171.7,65.5
188,9995,Medium_Range,ohc,gas,std,sedan,four,fwd,97.3,2300,109,3.19,100,26,32,171.7,65.5
189,11595,Medium_Range,ohc,gas,std,convertible,four,fwd,94.5,2254,109,3.19,90,24,29,159.3,64.2
190,9980,Medium_Range,ohc,gas,std,hatchback,four,fwd,94.5,2221,109,3.19,90,24,29,165.7,64.0
191,13295,Medium_Range,ohc,gas,std,sedan,five,fwd,100.4,2661,136,3.19,110,19,24,180.2,66.9
192,13845,Medium_Range,ohc,diesel,turbo,sedan,four,fwd,100.4,2579,97,3.01,68,33,38,180.2,66.9
193,12290,Medium_Range,ohc,gas,std,wagon,four,fwd,100.4,2563,109,3.19,88,25,31,183.1,66.9
194,12940,Medium_Range,ohc,gas,std,sedan,four,rwd,104.3,2912,141,3.78,114,23,28,188.8,67.2
195,13415,Medium_Range,ohc,gas,std,wagon,four,rwd,104.3,3034,141,3.78,114,23,28,188.8,67.2
196,15985,Medium_Range,ohc,gas,std,sedan,four,rwd,104.3,2935,141,3.78,114,24,28,188.8,67.2
197,16515,Medium_Range,ohc,gas,std,wagon,four,rwd,104.3,3042,141,3.78,114,24,28,188.8,67.2
198,18420,Medium_Range,ohc,gas,turbo,sedan,four,rwd,104.3,3045,130,3.62,162,17,22,188.8,67.2
199,18950,Medium_Range,ohc,gas,turbo,wagon,four,rwd,104.3,3157,130,3.62,162,17,22,188.8,67.2
200,16845,Medium_Range,ohc,gas,std,sedan,four,rwd,109.1,2952,141,3.78,114,23,28,188.8,68.9
201,19045,Medium_Range,ohc,gas,turbo,sedan,four,rwd,109.1,3049,141,3.78,160,19,25,188.8,68.8
202,21485,Medium_Range,ohcv,gas,std,sedan,six,rwd,109.1,3012,173,3.58,134,18,23,188.8,68.9
203,22470,Medium_Range,ohc,diesel,turbo,sedan,six,rwd,109.1,3217,145,3.01,106,26,27,188.8,68.9
204,22625,Medium_Range,ohc,gas,turbo,sedan,four,rwd,109.1,3062,141,3.78,114,19,25,188.8,68.9
